id,jobs,firms,salary,nums0
177,Linux研发工程师,上海凯翔信息科技有限公司,1-1.5万/月,1
178,JAVA开发工程师-西安,北京华晨阳通信技术有限责任公司,4-8千/月,10
179,500强-华为-大数据工程师,北京外企德科人力资源服务上海有限公司,1.5-2.5万/月,4
180,技术总监（智能算法）,北京中航讯科技股份有限公司,3-5万/月,1
181,嵌入式算法工程师,中科芯集成电路股份有限公司（中国电子科技集团公司第五十八研究所）,10-30万/年,3
182,大数据算法工程师(战略业务),北京超图软件股份有限公司,1-1.5万/月,1
183,ROS教育研发专员,西安乐博士机器人有限公司,4-6千/月,1
184,WEB前端开发工程师,西安圣点世纪科技有限公司,0.7-1.4万/月,1
185,测试工程师,中科金审（北京）科技有限公司,0.8-1.3万/月,1
186,区块链高级研发工程师,西安未来国际信息股份有限公司,1-1.5万/月,1
187,产品咨询顾问,美林数据技术股份有限公司,0.8-1.6万/月,1
188,软件测试工程师,西安悦泰科技有限责任公司,6-8千/月,3
189,C++高级开发工程师,中兴网鲲信息科技（上海）有限公司,0.8-1.5万/月,1
190,Linux运维开发工程师,西安华信智慧数字科技有限公司,0.8-1.6万/月,6
191,项目实施（实习生）,西安翼展电子科技有限公司,100元/天,3
192,c++（app解析）,厦门市美亚柏科信息股份有限公司,0.8-1.5万/月,1
193,Java高级开发工程师,北京中软国际信息技术有限公司,1-1.5万/月,若干
194,软件测试工程师,甘肃上航电力运维有限公司,6-8千/月,1
195,高级自动化测试开发工程师（西安）,深圳市有方科技股份有限公司,1.5-2.5万/月,若干
196,自动化测试工程师（20名）,三星数据系统（西安）有限公司,6-9千/月,20
197,运维工程师,西安九索数据技术股份有限公司,0.5-1万/月,2
198,大数据运维工程师,珠海网博信息科技股份有限公司,1.5-2万/月,1
199,运维工程师,深圳汇思诺科技有限公司,0.5-1万/月,若干
200,图像处理工程师,山东雷诚电子科技有限公司西安研发中心,0.8-1.2万/月,2
201,精密测量算法工程师,西安知象光电科技有限公司,1-1.5万/月,1
202,系统运维工程师,西安兴汇电力科技有限公司,6-8千/月,2
203,嵌入式软件工程师,新港海岸（北京）科技有限公司,0.8-2万/月,1
204,软件设计工程师,西安智多晶微电子有限公司,0.7-1.5万/月,1
205,测试经理,美格智能西安研究所,0.8-1万/月,2
206,高级测试工程师,深圳市广和通无线股份有限公司,0.7-1.4万/月,5
207,软件工程师（通信传输设备）(职位编号：Fiberhome002055),烽火通信科技股份有限公司,15-23万/年,若干
208,研发总监,西安启望计算机系统工程有限责任公司,1-1.5万/月,1
209,自动化测试工程师,上海数果科技有限公司,0.6-1.2万/月,若干
210,C++高级软件工程师,江苏锐天信息科技有限公司西安分公司,1.2-1.6万/月,2
211,中高级前端开发工程师,翔傲信息科技（上海）有限公司,0.8-1.2万/月,2
212,人工智能工程师,天图软件科技有限公司,1-2万/月,1
213,机器学习算法工程师,陕西瑞迅电子信息技术有限公司,1-2万/月,1
214,大数据挖掘工程师(高薪+五险一金+双休),西安政通信息技术有限公司,1.5-2万/月,1
215,并行计算研发工程师,英特工程仿真技术（大连）有限公司,0.8-1.5万/月,2
216,绑定设置师,华强方特设计院（厦门）有限公司,0.5-1万/月,5
217,软件测试,西安三好软件技术股份有限公司,3-5千/月,3
218,产品发布工程师,泰为信息科技（上海）有限公司,1.5-2万/月,2
219,系统运维工程师(000974)(职位编号：nationsky000974),启迪国信科技有限公司,1-1.5万/月,3
220,高级测试工程师,深圳光启空间技术有限公司,1-1.5万/月,若干
221,网络产品测试工程师,郑州信大捷安信息技术股份有限公司,6-8千/月,2
222,算法工程师（西安）(职位编号：690203),南京六九零二科技有限公司,1.5-2万/月,8
223,自动化软件开发工程师,西安蜂语信息科技有限公司,0.7-1.2万/月,2
224,前端开发工程师,西安国匠艺海星河酒店管理有限公司,0.8-1.5万/月,2
225,linux C++高级开发工程师,广州优孚欧智能科技有限公司,0.6-1.2万/月,2
226,数据工程师,西安点告网络科技有限公司,1.3-2.2万/月,若干
227,流体咨询专家--西安,安世亚太科技股份有限公司,0.8-1.5万/月,若干
228,深度学习算法工程师,西安中科光电精密工程有限公司,15-20万/年,2
229,大数据架构师,北京思特奇信息技术股份有限公司,2-2.5万/月,若干
230,高级测试工程师,西安北科维拓科技有限公司,0.8-1万/月,若干
231,视频/图像算法工程师（天益太赫兹）,西安天和防务技术股份有限公司,1-1.5万/月,2
232,生产测试开发工程师（西安）,华勤通讯技术有限公司,0.8-1.2万/月,2
233,数据工程师,Thoughtworks,1.5-3万/月,2
