"id";"jobs";"firms";"salary";"nums"
581;"网络信息安全工程师";"陕西智汇堂文化信息科技有限公司";"1.5-2万/月";"15"
582;"云平台开发工程师";"研华（中国）有限公司";"6-8千/月";"20"
583;"高级安卓(Android)开发工程师";"西安腾营信息科技有限公司";"0.9-1.2万/月";"41"
584;"服务器存储工程师（西安）(J10173)";"北京奕斯伟科技有限公司";"1-2万/月";"34"
585;"招聘经理";"苏州浩辰软件股份有限公司西安分公司";"0.6-1.2万/月";"71"
586;"测试工程师";"红上至信商务信息咨询（上海）有限公司";" ";"77"
587;"高级自动化测试";"广联达科技股份有限公司";" ";"18"
588;"相机评价测试工程师（西安）";"深圳市大疆创新科技有限公司";" ";"34"
589;"Python讲师";"陕西云谷教育科技有限公司";" ";"35"
590;"软件测试工程师";"西安冠群信息技术有限公司";"0.7-1.1万/月";"331"
591;"手机系统测试";"北京湛腾世纪科技有限公司";"6-8千/月";"71"
592;"大数据测试工程师";"深圳中兴力维技术有限公司";"1-2万/月";"100"
593;"私有云高级测试工程师";"西安奥卡云数据科技有限公司";"1-1.5万/月";"82"
594;"后台测试工程师";"广州小鹏汽车科技有限公司";"1-2万/月";"53"
595;"高级测试工程师";"销售易";"1.5-2万/月";"74"
596;"软件测试实习生";"龙尚科技（上海）有限公司";"2-3千/月";"56"
597;"5G调度器高级软件测试工程师";"中兴通讯股份有限公司";"1-1.5万/月";"204"
598;"软件测试工程师";"西安笃定信息技术有限公司";"3.5-8千/月";"209"
599;"高级测试工程师";"南京绛门信息科技股份有限公司";"0.8-1万/月";"128"
600;"测试工程师(测试中心)";"浙江宇视科技有限公司";"0.6-1.2万/月";"31"
601;"测试工程师";"陕西北斗金控信息服务有限公司";"0.6-1万/月";"166"
602;"软件开发软件测试工程师";"沈阳亚诗达科技有限公司";"0.6-1万/月";"239"
603;"高级测试工程师";"深圳光启空间技术有限公司";"1-1.5万/月";"154"
604;"自动化测试工程师";"上海指旺信息科技有限公司西安分公司";"0.8-1.5万/月";"63"
605;"00037-测试工程师（政企事业中心）";"上海趣医网络技术服务有限公司";"0.8-1万/月";"99"
606;"软件测试工程师";"威发（西安）软件有限公司";"5-9千/月";"295"
607;"自动化测试组长Automation Test Leader";"西安泰为软件有限公司";"1.5-2万/月";"53"
608;"Python高级软件工程师";"北京优诺信创科技有限公司";"0.8-1.5万/月";"42"
609;"00076-软件测试工程师";"上海京颐科技股份有限公司";"0.6-1万/月";"211"
610;"渗透测试工程师";"西安交大捷普网络科技有限公司";"0.6-1万/月";"28"
611;"软件测试工程师（通信传输设备）";"烽火通信科技股份有限公司";"15-20万/年";"221"
612;"系统集成测试工程师";"西安兴汇电力科技有限公司";"0.6-1.5万/月";"209"
613;"00079-软件测试工程师";"上海京颐科技股份有限公司";"0.6-1万/月";"151"
614;"Advisory - Risk-Risk Transformation-Senior";"EY安永";" ";"14"
