"id";"jobs";"firms";"salary";"nums"
1106;"广宣活动";"陕西通家汽车股份有限公司";"4-7千/月";"10"
1107;"大数据架构师";"神州数码系统集成服务有限公司西安分公司";"1.2-2.4万/月";"3"
1108;"验证技术员";"北京志翔领驭科技有限公司";"3-4.5千/月";"10"
1109;"振动分析与故障诊断工程师";"陕西卫峰核电子有限公司";"5-8千/月";"20"
1110;"研发工程师（MES/DNC/MDC方向）";"通力凯顿（北京）系统集成有限公司";"0.6-1.5万/月";"9"
1111;"数采实施顾问（MES/DNC/MDC方向）";"通力凯顿（北京）系统集成有限公司";"3-8千/月";"11"
1112;"售后服务工程师";"西安因联信息科技有限公司";"6-8千/月";"42"
1113;"停下来，享受创业—创业合伙人、区域负责人";"浙江猎数信息科技有限公司";"4-5万/月";"16"
1114;"RCC电话信息员（行业龙头，高收入，五险一金，双休）";"北京瑞达恒建筑咨询有限公司西安分公司";"4-6千/月";"3"
1115;"ARM嵌入式设计师";"山西科泰航天防务技术股份有限公司";"0.7-1.3万/月";"21"
1116;"高速摄像机销售及支持工程师";"北京约克仪器技术开发有限责任公司";"0.8-1万/月";"14"
1117;"销售顾问双休+无责底薪+高提成";"陕西博通致业安防科技有限公司";"0.8-1万/月";"28"
1118;"暑期工办公室销售 双休+高底薪+高提成";"陕西博通致业安防科技有限公司";"3-4.5千/月";"3"
1119;"双休7.5小时办公室高薪资销售代表";"陕西博通致业安防科技有限公司";"0.8-1万/月";"27"
1120;"7.5小时制固定双休法定假日正常休办公室销售工作";"陕西博通致业安防科技有限公司";"0.8-1万/月";"10"
1121;"双休办公室销售底薪3000";"陕西博通致业安防科技有限公司";"0.8-1万/月";"4"
1122;"双休底薪3000电话销售";"陕西博通致业安防科技有限公司";"0.8-1万/月";"6"
1123;"军工测试设备系统工程师ATE";"西安创亿达微电子测控系统有限公司";"1-2万/月";"29"
1124;"军工测试设备销售/销售助理";"西安创亿达微电子测控系统有限公司";"3-6千/月";"20"
1125;"系统工程师";"西安创亿达微电子测控系统有限公司";"1-2万/月";"19"
1126;"软件工程师";"西安艾达电子科技有限公司";"0.6-1.2万/月";"51"
1127;"系统集成工程师";"西安艾达电子科技有限公司";"0.8-1.2万/月";"18"
1128;"双休办公室销售底薪3千高提成";"陕西博通致业安防科技有限公司";"0.8-1万/月";"8"
1129;"MaxMara高端女装导购（西安中大国际）";"北京金美仕贸易有限公司";"6-8千/月";"38"
1130;"MaxMara高端女装导购（西安SKP）";"北京金美仕贸易有限公司";"0.5-1万/月";"56"
1131;"MaxMara高端女装导购（西安SKP）";"北京金美仕贸易有限公司";"0.5-1万/月";"98"
1132;"SPORTMAX高端女装导购（西安SKP）";"北京金美仕贸易有限公司";"4.5-6千/月";"51"
1133;"MARELLA高端女装（西安钟楼世纪金花）";"北京金美仕贸易有限公司";"4.5-6千/月";"19"
1134;"出国游双休底薪3千办公室销售";"陕西博通致业安防科技有限公司";"0.8-1万/月";"5"
1135;"工程信息调研员（多劳多得+双休+海外游）";"北京瑞达恒建筑咨询有限公司西安分公司";"4-6千/月";"3"
1136;"测绘项目经理";"西安舦渡数字科技有限公司";"0.6-1万/月";"17"
1137;"测绘工程外业测量员";"陕西迪博景源测绘地理信息有限公司";"2.1-4.5千/月";"30"
1138;"数据采集编辑(五险+双休)";"大屏幕显示业绩榜网";"4.5-6千/月";"9"
1139;"数据采集编辑(五险+双休)";"大屏幕显示业绩榜网";"4.5-6千/月";"16"
1140;"数据采集分析专员";"大屏幕显示业绩榜网";"4.5-6千/月";"9"
1141;"数据分析师";"泰豪软件股份有限公司";"0.8-1万/月";"48"
1142;"测绘工程项目经理";"西安创新数字测绘工程有限公司";" ";"5"
1143;"嵌入式开发工程师";"西安朗晟电子科技有限公司";" ";"2"
1144;"BI实施顾问（高级）";"陕西优百信息技术有限公司";" ";"9"
1145;"3000急聘淘宝店铺运营有高提点经验者优先";"西安淘达网络科技有限公司";" ";"7"
1146;"大数据开发经理";"西安华创人力资源管理咨询有限公司";" ";"5"
1147;"软件工程师 福利+项目奖金+培训+旅游";"西安航普电子有限责任公司";" ";"6"
1148;"大数据分析开发工程师";"西安三体网络科技有限公司";" ";"19"
1149;"销售工程师";"西安环测电子有限公司";" ";"7"
1150;"电气调试人员";"陕西天汇电力建设工程有限公司";" ";"18"
1151;"急聘嵌入式开发人员（长安区）";"陕西西科美芯电子科技有限公司";"6-8千/月";"26"
1152;"线上运营（外卖）";"西安袁记餐饮管理有限公司";" ";"4"
1153;"电子技术员";"西安仙峒科技有限责任公司";"3-5千/月";"19"
1154;"互联网运营总监";"陕西花之吻企业管理有限公司";"0.8-1万/月";"29"
1155;"MES项目经理";"北京天圣华信息技术有限责任公司";" ";"48"
1156;"分析师";"陕西利贞元亨商业运营管理有限公司";"3-4.5千/月";"5"
1157;"设计开发项目经理";"西安睿诺新能源有限公司";" ";"9"
1158;"设备部电气工程师（泰州上班）";"江苏兴达钢帘线股份有限公司";"0.6-1.2万/月";"17"
1159;"labview软件工程师";"西安龙德科技发展有限公司";"4.5-6千/月";"8"
1160;"航测采集、编辑人员";"西安广域数码测绘工程有限责任公司";"3-6千/月";"10"
1161;"实施工程师（西安）";"浙江中控技术股份有限公司";"6-8千/月";"18"
1162;"LTE优化工程师";"西安海润通信技术有限公司";"0.6-1.2万/月";"15"
1163;"销售工程师";"中航电测仪器股份有限公司";"4.5-6千/月";"34"
1164;"实验室人员+五险一金";"西安三维应力工程技术有限公司";"3-4.5千/月";"20"
1165;"电力巡检飞手";"西安因诺航空科技有限公司";"4-8千/月";"52"
1166;"信息技术主管（百寰购物中心）";"西安百寰建材实业有限责任公司";"4.5-6千/月";"17"
1167;".NET开发工程师";"西安博深安全科技股份有限公司";"0.8-1万/月";"14"
1168;"Labview软件开发工程师";"西安庆安航空电子有限公司";"0.5-1万/月";"24"
1169;"软件工程师";"陕西特恩电子科技有限公司";"4-6千/月";"17"
1170;"电商总监/电商经理";"陕西鑫晟吉祥生物科技有限公司";"1-1.5万/月";"33"
1171;"测绘工程师";"西安新恒屹建筑工程有限公司";"3-6千/月";"3"
1172;"算法工程师";"三盟科技股份有限公司";"1.5-2万/月";"29"
1173;"光学工程师";"西安西光创威光电有限公司";"0.5-1.1万/月";"65"
1174;"绩效评价";"陕西正衡投资控股集团有限公司";"4.5-9千/月";"10"
1175;"现场技术支持工程师";"研华（中国）有限公司";"6-8千/月";"63"
1176;"技术总监";"陕西锦图企业管理咨询有限责任公司";"2.5-3万/月";"41"
1177;"航测内业技术员";"陕西新英建设工程有限公司";"5-7千/月";"25"
1178;"研发助理";"西安天瑞达光电技术股份有限公司";"4-7千/月";"55"
1179;"SQE";"陕西通家汽车股份有限公司";"3.5-7千/月";"66"
1180;"市场部实习生";"西安倍格特数据技术有限公司";"2-3千/月";"2"
1181;"市场专员(西安服务中心）";"江苏儒灵童文化产业集团有限公司";"3-4.5千/月";"2"
1182;"教师（计算机方向）";"西安欧亚学院";"6-8千/月";"40"
1183;"新媒体运营专员";"神州数码系统集成服务有限公司西安分公司";"4-8千/月";"34"
1184;"信息化技术管理/大坝数字信息化管理";"陕西省引汉济渭工程建设有限公司";" ";"62"
1185;"中级系统工程师";"江苏锐天信息科技有限公司西安分公司";"0.8-1.1万/月";"9"
1186;"淘宝运营专员+高提成+有经验优先";"西安千硕电子商务有限公司";"0.4-1万/月";"25"
1187;"电路设计工程师";"北京世迈腾科技有限公司";"6-9千/月";"18"
1188;"工艺工程师";"陕西投资远大建筑工业有限公司";"4.5-6千/月";"29"
1189;"质量部经理";"西安源森生物科技有限公司";"8-10万/年";"17"
1190;"LabVIEW工程师";"陕西卫峰核电子有限公司";"6-8千/月";"30"
1191;"测试工程师(传感器类)";"陕西麟德惯性电气有限公司";"4.5-6千/月";"46"
1192;"安装工程师";"香港基因有限公司";" ";"66"
1193;"售前顾问（MES/DNC/MDC方向）";"通力凯顿（北京）系统集成有限公司";"0.3-1万/月";"3"
1194;"Java Web开发工程师";"郑州信大捷安信息技术股份有限公司";"0.8-1.5万/月";"73"
1195;"售后服务工程师";"西安因联信息科技有限公司";"6-8千/月";"24"
1196;"C++/C#软件工程师";"西安知微传感技术有限公司";"0.8-1.5万/月";"39"
1197;"光伏电气工程师";"陕西光德电子材料有限公司";"5-7千/月";"85"
1198;"物联网开发工程师";"上海思伟软件有限公司";"1-3万/月";"17"
1199;"项目经理";"西安光谷防务技术股份有限公司";"0.6-1万/月";"41"
1200;"Oracle 开发岗";"云歌信息技术（江苏）有限公司";"5-8千/月";"13"
1201;"验证技术员";"北京志翔领驭科技有限公司";"3-4.5千/月";"10"
1202;"销售经理";"中江联合（北京）科技有限公司";"2-3万/月";"151"
1203;"飞行器总体设计师";"山西科泰航天防务技术股份有限公司";"0.8-1.5万/月";"19"
1204;"高速摄像机销售及支持工程师";"北京约克仪器技术开发有限责任公司";"0.8-1万/月";"27"
1205;"大数据开发工程师";"西安恪诚电子科技有限公司";"1-1.5万/月";"37"
1206;"测绘员/组长/项目经理（出差）";"西安速度时空大数据科技有限公司";"3-8千/月";"51"
1207;"硬件工程师";"西安亿威数字技术有限公司";"5-6.9千/月";"31"
1208;"机器视觉系统集成工程师";"陕西银河景天电子有限责任公司";"1-3万/月";"11"
1209;"组装测试技术员";"鹏翔飞控作动系统(西安）有限责任公司";" ";"100"
1210;"Junior Grower 种植技术员";"黑革萝（上海）贸易有限公司";"5-8千/月";"21"
1211;"应用软件开发工程师";"西安翔迅科技有限责任公司";"0.9-1.5万/月";"20"
1212;"大数据开发工程师";"紫光陕数大数据有限公司";"1-1.5万/月";"45"
1213;"发动机测试工程师";"西安增材制造国家研究院有限公司";"4-8千/月";"22"
1214;"光学工程师";"西安和其光电科技股份有限公司";"6-8千/月";"13"
1215;"软件程序员（双休+五险一金）";"华羿微电子股份有限公司";"6-8千/月";"11"
1216;"C/C++软件工程师";"西安创亿达微电子测控系统有限公司";"1-1.6万/月";"81"
1217;"销售工程师";"西安艾达电子科技有限公司";"4.5-8千/月";"28"
1218;"BI实施顾问";"西安石榴花电子科技有限公司";"0.6-1.2万/月";"36"
1219;"C#开发工程师";"陕西远洋科技实业有限责任公司";"0.8-1万/月";"14"
1220;"MAX&Co.高端女装导购（西安高新中大国际）";"北京金美仕贸易有限公司";"3-4.5千/月";"19"
1221;"大数据事业部经理";"西安鼎高信息技术有限公司";"0.8-1万/月";"20"
1222;"数据开发工程师";"长天科技有限公司";"4.5-6千/月";"4"
1223;"内容审核员";"陕西晶胜广告文化传播有限公司";"3-4千/月";"22"
1224;"软件工程师";"陕西汉唐力源电子科技有限公司";"4-8千/月";"17"
1225;"MES\仿真\SCADA\可视化监控项目人员";"陕西建工金牛集团股份有限公司";"3-4.5千/月";"7"
1226;"Technical Service Specialist 技术支持专员";"艾仕得涂料系统（上海）有限公司浦东分公司";" ";"112"
1227;"电子工程师";"西安航科等离子体科技有限公司";"0.8-1万/月";"62"
1228;"Java高级开发工程师";"陕西思尔生物科技有限公司";"0.8-2万/月";"83"
1229;"权证专员";"西安信桥壹佰置业有限公司";"4.5-6千/月";"16"
1230;"高级医学经理";"北京依露得力医疗器械有限公司";"0.8-1万/月";"9"
1231;"数据分析员";"西安亚购信息科技有限公司";"4-8千/月";"31"
1232;"硬件工程师（光电信号处理方向）";"西安奇维科技有限公司";"1-1.5万/月";"41"
1233;"权证专员";"阳光壹佰置业（成都）有限公司";"4.5-6千/月";"29"
1234;"少儿销售总监";"陕西方城教育科技有限公司";"7-8千/月";"9"
1235;"自动化工程师";"汉思信息技术有限公司";"0.5-1万/月";"133"
1236;"5G电信技术工程师";"西安纳维通信技术有限公司";"3-5千/月";"13"
1237;"研发工程师";"西安东风自动化设备有限公司";"4.5-6千/月";"19"
1238;"控制系统研发工程师";"西安中科微精光子制造科技有限公司";"0.8-1万/月";"14"
1239;"工程信息客服（多劳多得+双休+海外游）";"北京瑞达恒建筑咨询有限公司西安分公司";"4-6千/月";"23"
1240;"物联网工程师";"西安橡树软件有限公司";"6-8千/月";"22"
1241;"测绘工程师";"西安舦渡数字科技有限公司";"4-6千/月";"40"
1242;"仓储单证员";"陕西世纪东泰新材料科技有限公司";"3.6-4.2千/月";"13"
1243;"RD-数据标记实习生";"TCL集团工业研究院";"100元/天";"40"
1244;"测绘工程项目经理";"陕西迪博景源测绘地理信息有限公司";"3.5-7千/月";"7"
1245;"中国移动业务推广专员(五险+住宿）";"西安鑫福电子科技有限公司";"4.5-6.5千/月";"3"
1246;"移动业务拓展专员（带薪培训+社保）";"陕西善建者企业管理咨询有限公司";"4.5-6.5千/月";"2"
1247;"绘图员";"西安曲江新区（大明宫）金麒麟家居体验中心";"3.5-4千/月";"9"
1248;"商品数据分析员";"广州杰夫森服装有限公司";"4-8千/月";"41"
1249;"GIS数据处理  双休+五险一金";"西安达文信息技术有限公司";"3-4千/月";"20"
1250;"光源与照明工程x";"上海隆耀网络科技有限公司";"6-8千/月";"6"
1251;"测绘工程师";"苗夫控股有限公司";"4-8千/月";"8"
1252;"电测部经理/产品经理";"欧美大地仪器设备中国有限公司";"15-20万/年";"73"
1253;"城市合伙人/区域负责人";"浙江猎数信息科技有限公司";"3-4万/月";"31"
1254;"中国物联网信号采集员";"西安图标通信科技有限公司";"3-5千/月";"20"
1255;"中国物联网电信/移动/联通信号采集";"西安图标通信科技有限公司";"3-4.5千/月";"45"
1256;"摄影测量工程师";"西安唐远信息科技有限公司";"3-6千/月";"10"
1257;"图文/CAD机械设计";"西安优智科技产业有限公司";"3.5-5千/月";"56"
1258;"销售";"陕西润方贸易有限公司";"4.5-6千/月";"14"
1259;"生产测试/硬件测试";"西安同步电气有限责任公司";"2.5-4.5千/月";"49"
1260;"模拟电路设计师（五险一金、双休）";"西安星恒通通信技术有限公司";"0.6-1.8万/月";"49"
1261;"售前工程师";"西安灵秀机电智能系统技术有限公司";"0.6-1万/月";"25"
1262;"双休办公室销售底薪3000";"陕西博通致业安防科技有限公司";"0.8-1万/月";"6"
1263;"网络优化工程师";"移动设计院陕西分公司";"10-15万/年";"97"
1264;"内容运营-西安-04196";"博彦科技股份有限公司";"3-3.5千/月";"12"
1265;"文案策划";"陕西宜雪装饰工程有限公司";"4.5-6千/月";"13"
1266;"售后服务工程师";"青岛佳明测控科技股份有限公司";"4-6千/月";"86"
1267;"测绘数据采集员（西安）";"上海爵特信息科技有限公司";" ";"3"
1268;"航测数据采集员";"陕西汇图测绘地理信息有限公司";"3-4.5千/月";"14"
1269;"雷达数据采集人员";"中煤航测遥感集团有限公司";" ";"13"
1270;"数据采集员";"西安华众电子科技股份有限公司";"3-4.5千/月";"15"
1271;"数据采集分析专员(五险+双休)";"大屏幕显示业绩榜网";"4.5-6千/月";"29"
1272;"工控安全研究员（西安）";"绿盟科技";" ";"5"
1273;"全栈研发工程师(J11231)";"绿盟科技";" ";"11"
1274;"自然语言处理工程师";"红上至信商务信息咨询（上海）有限公司";" ";"13"
1275;"java后台开发工程师";"西安智推网络科技有限公司";" ";"24"
1276;"代码审计工程师（西安）-西北服务交付部";"绿盟科技";" ";"7"
1277;"代码审计工程师（西安）-西北服务交付部";"绿盟科技";" ";"7"
1278;"安全开发工程师(西安）-西北服务交付部";"绿盟科技";" ";"21"
1279;"自动化测试工程师";"上海指旺信息科技有限公司西安分公司";"0.8-1.5万/月";"63"
1280;"大数据与人工智能工程师";"上海指旺信息科技有限公司西安分公司";"0.8-2万/月";"33"
1281;"AI开发工程师";"上海指旺信息科技有限公司西安分公司";"0.8-1.5万/月";"20"
1282;"C++中级软件工程师";"江苏锐天信息科技有限公司西安分公司";"0.8-1.1万/月";"19"
1283;"配置管理工程师";"西安奥卡云数据科技有限公司";"0.8-1万/月";"9"
1284;"初级存储研发工程师";"西安奥卡云数据科技有限公司";"0.8-1万/月";"13"
1285;"集群系统开发运维工程师(算法类)";"浙江宇视科技有限公司";"0.8-1.5万/月";"37"
1286;"软件测试工程师(通用IPC)";"浙江宇视科技有限公司";"0.8-1万/月";"165"
1287;"AI算法开发工程师(算法类)";"浙江宇视科技有限公司";"0.8-1.2万/月";"37"
1288;"软件测试工程师（高级）";"西安图迹信息科技有限公司";"0.8-1万/月";"244"
1289;"高级数据库运维人员";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"6"
1290;"高级云平台运维工程师";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"14"
1291;"运维技术专家";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"2"
1292;"中级数据库运维工程师";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"6"
1293;"高级数据库运维人员";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"5"
1294;"中级软件运维人员";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"14"
1295;"结构仿真咨询专家--西安";"安世亚太科技股份有限公司";"0.8-1.5万/月";"32"
1296;"中级测试工程师";"北京华软金科信息技术有限公司";"0.8-1万/月";"22"
1297;"Java开发工程师";"北京华软金科信息技术有限公司";"0.8-1万/月";"30"
1298;"自动化测试工程师";"北京华软金科信息技术有限公司";"0.8-1万/月";"56"
1299;"中级测试工程师（总账数据方向）";"北京华软金科信息技术有限公司";"0.8-1万/月";"81"
1300;"C/C++高级开发工程师";"西安三茗科技股份有限公司";"0.8-1.5万/月";"51"
1301;"Web开发工程师（西安）";"绿盟科技";"0.8-1.5万/月";"35"
1302;"高级nodeJs工程师";"陕西维纳传媒股份有限公司";"0.8-1.5万/月";"11"
1303;"高级PHP工程师";"陕西维纳传媒股份有限公司";"0.8-1.5万/月";"24"
1304;"网络工程师";"上海思华科技股份有限公司";"0.8-1万/月";"6"
1305;"软件测试工程师";"西安大医集团有限公司";"0.8-1.5万/月";"339"
1306;"高级数据库工程师";"西安国际医学中心有限公司";"0.8-1.2万/月";"34"
1307;"Java开发工程师";"酷渲（北京）科技有限公司";"0.8-1.5万/月";"183"
1308;"软件测试工程师（西安）";"深圳市有方科技股份有限公司";"0.8-1.2万/月";"293"
1309;"前端开发人员（西安）";"中电长城网际系统应用有限公司";"0.8-1万/月";"53"
1310;"软件测试工程师（西安）";"中电长城网际系统应用有限公司";"0.8-1万/月";"459"
1311;"RD-机器学习工程师（可接收实习生）";"TCL集团工业研究院";"0.8-1.5万/月";"64"
1312;"嵌入式开发高级工程师";"西安思菲特信息科技有限公司";"0.8-1.2万/月";"33"
1313;"嵌入式开发高级工程师";"西安思菲特信息科技有限公司";"0.8-1.2万/月";"31"
1314;"java/.net/web/大数据软件工程师";"陕西巨人商务信息咨询有限公司";"0.8-1万/月";"87"
1315;"[ATCC] 公有云监控";"埃森哲（中国）有限公司";"0.9-1.8万/月";"5"
1316;"ic验证工程师";"软通动力信息技术（集团）有限公司";" ";"15"
1317;"自动化测试工程师";"西安华创人力资源管理咨询有限公司";" ";"13"
1318;"金融云服务工程师";"赞同科技股份有限公司";" ";"3"
1319;"Java开发工程师";"成都市新东能建信息技术有限公司西安分公司";" ";"18"
1320;"大数据讲师";"西安优盛信息技术有限公司";" ";"6"
1321;"Data Scientist";"GE航空集团";" ";"24"
1322;"数据库工程师（大学讲师）";"北京华晟经世信息技术有限公司";" ";"16"
1323;"界面软件工程师";"西安君晖航空科技有限公司";" ";"19"
1324;"前端开发";"西安逆袭网络科技有限公司";" ";"14"
1325;"大数据应用工程师";"北京信都桥景科技有限公司";" ";"11"
1326;"高级C/C++软件工程师";"北京北信源软件股份有限公司西安分公司";" ";"9"
1327;"PHP开发工程师";"北京鲸鹳科技有限公司陕西分公司";"0.8-1.5万/月";"45"
1328;"基础架构工程师";"西安瑞蓝创软件科技有限公司";" ";"6"
1329;"C++软件工程师";"华显光电技术（惠州）有限公司";"0.8-1万/月";"12"
1330;"QA/ 软件测试（功能+自动化）";"西安活跃网络有限公司";"0.9-1.3万/月";"328"
1331;"AI开发工程师（应届研究生）";"上海指旺信息科技有限公司西安分公司";"0.8-1万/月";"69"
1332;"高级安卓(Android)开发工程师";"西安腾营信息科技有限公司";"0.9-1.2万/月";"41"
1333;"初级软件质量工程师";"西安奥卡云数据科技有限公司";"0.8-1万/月";"58"
1334;"大数据研发工程师（ga-t-20180514-005w)";"太极计算机股份有限公司";"0.8-1.5万/月";"31"
1335;"软件工程师";"西安伟伦实业发展有限公司";"0.8-1.2万/月";"22"
1336;"MES应用软件开发工程师";"和利时集团--西安和利时";"0.9-1.5万/月";"31"
1337;"C/C++ 软件工程师";"北京优炫软件股份有限公司";"0.8-1.2万/月";"21"
1338;"软件界面开发工程师（硅谷技术）";"西安咏圣达电子科技有限公司";"0.8-1.2万/月";"6"
1339;"高级测试工程师";"南京绛门信息科技股份有限公司";"0.8-1万/月";"128"
1340;"GIS开发工程师";"西安山脉科技发展有限公司";"0.8-1万/月";"19"
1341;"生产测试开发工程师（西安）";"华勤通讯技术有限公司";"0.8-1.2万/月";"190"
1342;"芯片性能优化工程师(算法类)";"浙江宇视科技有限公司";"0.8-1.2万/月";"10"
1343;"软件测试工程师";"西安海博软件服务有限公司";"0.8-1万/月";"191"
1344;"Web后端工程师";"深圳市中易腾达科技股份有限公司";"0.8-1万/月";"57"
1345;"中级软件工程师";"江苏锐天信息科技有限公司西安分公司";"0.8-1.2万/月";"19"
1346;"前端开发工程师";"西安国匠艺海星河酒店管理有限公司";"0.8-1.5万/月";"52"
1347;"Java开发工程师";"陕西秦林商务信息咨询有限公司";"0.8-1万/月";"85"
1348;"中高级Java开发工程师（西安）dqz";"北京思路创新科技有限公司";"0.8-1.5万/月";"161"
1349;"VR 相关算法工程师 高级软件工程师";"西安灵境科技有限公司";"8-20万/年";"37"
1350;"技术构架师   兼项目经理";"旅拍通科技有限公司";"0.8-1万/月";"15"
1351;"大数据研发工程师";"北京明朝万达科技股份有限公司";"0.8-1.6万/月";"23"
1352;"运维技术专家";"三门峡崤云信息服务股份有限公司";"0.8-1.5万/月";"5"
1353;"全栈工程师";"北京时代一峰信息技术有限公司";"0.8-1.5万/月";"26"
1354;"高级测试工程师";"西安北科维拓科技有限公司";"0.8-1万/月";"166"
1355;"资深BI工程师";"上海哥瑞利软件有限公司";"0.8-1.5万/月";"22"
1356;"软件测试工程师";"西安三星电子研究有限公司";"0.8-1.5万/月";"427"
1357;"项目经理";"西安英兆软件信息有限责任公司";"0.8-1.5万/月";"41"
1358;"JAVA大数据分析工程师";"深圳优克云联科技有限公司";"0.8-3万/月";"23"
1359;"测试工程师";"中科金审（北京）科技有限公司";"0.8-1.3万/月";"206"
1360;"组件验证工程师";"矽昆微电子（上海）有限公司";"0.8-1.5万/月";"42"
1361;"流体咨询专家--西安";"安世亚太科技股份有限公司";"0.8-1.5万/月";"30"
1362;"SAAS产品经理";"西安因联信息科技有限公司";"1.5-2.5万/月";"25"
1363;"测试经理";"美格智能西安研究所";"0.8-1万/月";"83"
1364;"嵌入式软件工程师";"新港海岸（北京）科技有限公司";"0.8-2万/月";"83"
1365;"服务器工程师";"西安西品网络科技有限公司";"0.8-1万/月";"18"
1366;"自动化测试工程师";"西安景兆信息科技有限公司";"0.8-1万/月";"29"
1367;"算法工程师";"广州亿程交通信息集团有限公司";"0.8-1.6万/月";"37"
1368;"Linux软件工程师";"西安三茗科技股份有限公司";"0.8-1万/月";"39"
1369;"运维工程师";"北京空间畅想信息技术有限责任公司";"0.8-1万/月";"85"
1370;"JavaWeb工程师";"陕西维纳传媒股份有限公司";"0.8-1.5万/月";"37"
1371;"自动化测试工程师";"KaiOS凯系通讯科技";"0.8-1.2万/月";"126"
1372;"数据库管理员";"上海京颐科技股份有限公司";"0.8-1.5万/月";"42"
1373;"图像算法工程师";"西安大医集团有限公司";"0.8-1.5万/月";"52"
1374;"并行计算研发工程师";"英特工程仿真技术（大连）有限公司";"0.8-1.5万/月";"26"
1375;"Web前端开发工程师中级";"西安亿阳信通软件科技发展有限公司";"0.9-1.5万/月";"49"
1376;"大数据平台架构师";"西安国际医学中心有限公司";"0.8-1万/月";"11"
1377;"大数据开发工程师";"杭州世平信息科技有限公司";"0.8-1.5万/月";"48"
1378;"软件工程师";"西安中科创星科学传播发展有限责任公司";"0.8-1.2万/月";"10"
1379;"大数据开发工程师";"陕西万盛达信息科技有限公司";"0.8-1.5万/月";"73"
1380;"Web前端开发工程师";"陕西巨子生物技术有限公司";"0.8-1万/月";"75"
1381;"C++高级开发工程师";"中兴网鲲信息科技（上海）有限公司";"0.8-1.5万/月";"44"
1382;"C/C++高级开发工程师";"北京北信源软件股份有限公司";"0.8-1万/月";"25"
1383;"高级嵌入式软件开发工程师";"西安翔迅科技有限责任公司";"1-1.5万/月";"42"
1384;"算法工程师（数据清洗方向）";"紫光陕数大数据有限公司";"0.8-1.2万/月";"24"
1385;"渲染TD";"西咸新区秦汉新城新丝路数字文化科技有限公司";"0.8-1.5万/月";"13"
1386;"java高级软件工程师";"北京军地联合信息技术研究发展中心（有限合伙）";"0.8-1万/月";"49"
1387;"PHP高级开发工程师";"陕西远洋科技实业有限责任公司";"0.8-1万/月";"16"
1388;"数据库工程师";"中通服科信信息技术有限公司";"0.8-1万/月";"63"
1389;"大数据平台研发工程师";"南瑞集团有限公司";"0.8-1.6万/月";"42"
1390;"前端开发工程师";"陕西淘丁实业集团有限公司";"0.8-1万/月";"9"
1391;"软件测试工程师";"酷渲（北京）科技有限公司";"0.8-1.5万/月";"462"
1392;"Web前端设计师";"陕西九鼎通信技术有限公司";"0.8-1万/月";"32"
1393;"软件工程师";"西安悦锦电子信息科技有限公司";"8-10万/年";"73"
1394;"高级软件测试工程师（西安）";"深圳市有方科技股份有限公司";"0.8-1.2万/月";"186"
1395;"人工智能机器学习工程师";"西安橡树软件有限公司";"0.8-1万/月";"51"
1396;"Linux运维开发工程师";"西安华信智慧数字科技有限公司";"0.8-1.6万/月";"54"
1397;"RD-算法移植优化工程师";"TCL集团工业研究院";"0.8-1万/月";"28"
1398;"后云端技术";"西安雅卓电子智能科技有限公司";"0.8-1万/月";"8"
1399;"数据分析师（十三薪+双休）";"北京中海华晟信息技术有限公司西安分公司";"0.8-1万/月";"64"
1400;"算法工程师";"西安思菲特信息科技有限公司";"0.8-1.5万/月";"50"
1401;"Web前端开发工程师";"西安可视可觉网络科技有限公司";"0.8-1万/月";"97"
1402;"高级PHP开发工程师";"西安旭辉计算机软件开发有限责任公司";"0.8-1万/月";"39"
1403;"C/C++讲师/培训师/老师 高薪";"陕西巨人商务信息咨询有限公司";"0.8-1万/月";"10"
1404;"Python开发工程师";"西安远眺网络科技有限公司";" ";"19"
1405;"python后台开发工程师";"西安智推网络科技有限公司";"0.8-1.5万/月";"56"
1406;"Python高级软件工程师";"北京优诺信创科技有限公司";"0.8-1.5万/月";"42"
1407;"python开发";"中软国际科技服务有限公司";"0.8-1.5万/月";"82"
1408;"云计算Python开发工程师";"上海思华科技股份有限公司";"0.8-1.2万/月";"82"
1409;"服务器运维工程师";"红上至信商务信息咨询（上海）有限公司";" ";"20"
1410;"测试工程师";"红上至信商务信息咨询（上海）有限公司";" ";"35"
1411;"数据研究员";"红上至信商务信息咨询（上海）有限公司";" ";"12"
1412;"自动化开发与测试(测试中心)";"浙江宇视科技有限公司";"0.5-1万/月";"36"
1413;"性能测试工程师";"西安恒谦教育科技股份有限公司";"4.5-6千/月";"33"
1414;"服务器安全工程师";"小马股份有限公司西安分公司";"0.5-2.5万/月";"26"
1415;"㊣㊣㊣ 服务器安全工程师 ㊣㊣㊣";"小马股份有限公司西安分公司";"0.5-2.5万/月";"18"
1416;"㊣㊣㊣ 服务器运维工程师 ㊣㊣㊣";"小马股份有限公司西安分公司";"0.5-2.5万/月";"20"
1417;"服务器运维工程师";"小马股份有限公司西安分公司";"0.5-2.5万/月";"48"
1418;"A311-1WE前端开发";"西安卓睿信息技术有限公司";"4.5-6千/月";"18"
