id,jobs,firms,salary,nums0
532,�I�I�I  C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
533,�I�I�I  C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
534,C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
535,�I�I�I  C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
536,�I�I�I  C++开发工程师 (区块链/比特币/数字贷币),小马股份有限公司西安分公司,1-5万/月,若干
545,c++开发测试工程师,西安博彦信息技术有限公司,0.6-1.2万/月,若干
554,高级C++开发工程师(005859)(职位编号：glodon005859),广联达科技股份有限公司,1.5-2万/月,若干
556,西安星海信息诚聘 C++程序员,陕西星海信息工程有限责任公司,6-8千/月,若干
583,应届生软件开发工程师（IoT，AI，深度学习等方向）,西安三星电子研究有限公司,11-20万/年,若干
584,嵌入式软件开发工程师,西安三星电子研究有限公司,11-40万/年,若干
590,IOS开发工程师,西安环太科技发展有限公司,4-8.5千/月,若干
597,芯片测试工程师,西安紫光国芯半导体有限公司,20-30万/年,若干
610,.NET开发工程师,西安葡萄城信息技术有限公司,0.7-1.5万/月,若干
622,WLAN软件工程师,西安西电捷通无线网络通信股份有限公司,0.5-1万/月,若干
623,高级白盒测试工程师,西安西电捷通无线网络通信股份有限公司,0.6-1.2万/月,若干
629,嵌入式系统研发、测试工程师,迈隆（西安）电子技术有限公司,0.7-1.5万/月,若干
632,Android驱动开发工程师,上海数果科技有限公司,0.8-1.5万/月,若干
634,嵌入式人机交互开发工程师(智慧出入口)(职位编号：uniview001882),浙江宇视科技有限公司,0.6-1.2万/月,若干
635,ISP算法工程师(图像处理技术部)(职位编号：uniview001262),浙江宇视科技有限公司,0.8-1万/月,若干
636,嵌入式ARM开发工程师(算法类)(职位编号：uniview001860),浙江宇视科技有限公司,0.8-1.6万/月,若干
641,嵌入式软件开发工程师(算法类)(职位编号：uniview001310),浙江宇视科技有限公司,0.8-1.5万/月,若干
642,集群系统开发运维工程师(算法类)(职位编号：uniview001364),浙江宇视科技有限公司,0.8-1.5万/月,若干
643,自动化开发与测试(测试中心)(职位编号：uniview001299),浙江宇视科技有限公司,0.5-1万/月,若干
644,深度学习框架优化工程师(算法类)(职位编号：uniview001864),浙江宇视科技有限公司,0.8-1.6万/月,若干
646,ISP 算法工程师(前端类B)(职位编号：uniview000871),浙江宇视科技有限公司,0.8-1.2万/月,若干
648,软件开发工程师（众包平台方向）,陕西浦思金融网络科技有限公司,1-1.5万/月,若干
649,软件开发工程师（支付行业方向）,陕西浦思金融网络科技有限公司,1-1.5万/月,若干
650,软件开发工程师（配送调度平台方向）,陕西浦思金融网络科技有限公司,1-1.5万/月,若干
651,（某500强知名企业）立体视觉算法工程师,西安瀚特人力资源有限公司,2-2.5万/月,若干
652,（某500强知名企业）DSP开发工程师,西安瀚特人力资源有限公司,1.5-2万/月,若干
653,（某500强知名企业）算法优化工程师,西安瀚特人力资源有限公司,1.5-2万/月,若干
654,（某500强知名企业）三维重建算法工程师,西安瀚特人力资源有限公司,2-2.5万/月,若干
655,（某500强知名企业）资深三维计算机视觉算法工程师,西安瀚特人力资源有限公司,2-2.5万/月,若干
657,（某500强知名企业）SLAM算法工程师,西安瀚特人力资源有限公司,1.5-2万/月,若干
658,（某500强知名企业）云业务架构师,西安瀚特人力资源有限公司,1.5-2万/月,若干
659,Linux开发工程师（qt）,西安九州艾维航空科技有限公司,0.8-1万/月,若干
665,（某500强知名企业）系统设计师,西安瀚特人力资源有限公司,1.5-2万/月,若干
668,嵌入式软件工程师-航电方向（校招专用）,西安希德雷达科技有限公司,0.7-1.2万/月,若干
670,（某500强知名企业）PC软件研发设计,西安瀚特人力资源有限公司,1-1.5万/月,若干
671,（某500强企业）Android Framework系统工程师,西安瀚特人力资源有限公司,1-1.5万/月,若干
675,（某500强知名企业）软件项目管理spm,西安瀚特人力资源有限公司,1-1.5万/月,若干
676,（某500强知名企业）高级协议工程师,西安瀚特人力资源有限公司,1.5-2万/月,若干
677,SSC软件开发工程师（某自动化设备测试公司）,西安瀚特人力资源有限公司,2-2.5万/月,若干
687,Android开发工程师,江苏润和软件股份有限公司,0.7-1.5万/月,若干
688,软件工程师（Camera方向）,江苏润和软件股份有限公司,0.7-1.5万/月,若干
689,软件工程师（AR方向）,江苏润和软件股份有限公司,0.7-1.5万/月,若干
690,软件工程师,江苏润和软件股份有限公司,0.7-1.5万/月,若干
691,视频工程师,江苏润和软件股份有限公司,0.7-1.5万/月,若干
692,嵌入式驱动工程师,江苏润和软件股份有限公司,0.7-1.5万/月,若干
706,Linux环境c语言开发工程师,西安交大捷普网络科技有限公司,0.6-1.5万/月,若干
717,C#开发工程师,西安鼎力信息技术有限责任公司,0.8-1.6万/月,若干
725,图像/视频高级算法工程师(职位编号：novatek000586),联咏电子科技（西安）有限公司,1-3万/月,若干
726,深度学习算法工程师(职位编号：novatek000574),联咏电子科技（西安）有限公司,1-2万/月,若干
727,Algorithm Software  工程师(职位编号：novatek000525),联咏电子科技（西安）有限公司,1.5千以下/月,若干
728,机器视觉算法工程师(职位编号：novatek000514),联咏电子科技（西安）有限公司,0.8-1万/月,若干
