"id";"jobs";"firms";"salary";"nums0"
865;"游戏设计/助理/实习生  双休+五险一金";"西安卓睿信息技术有限公司";"6-8千/月";"7"
866;"品牌专员（文案策划）双休+4k-6k";"西安卓睿信息技术有限公司";"4.5-6千/月";"6"
867;"A62-1技术支持、维护工程师";"西安卓睿信息技术有限公司";"4.5-6千/月";"5"
868;"A61-1技术支持、维护经理";"西安卓睿信息技术有限公司";"4.5-6千/月";"5"
869;"A213-1 数据库工程师/管理员";"西安卓睿信息技术有限公司";"4.5-6千/月";"5"
870;"A29-1 系统集成工程师";"西安卓睿信息技术有限公司";"4.5-6千/月";"5"
871;"系统集成工程师实习生";"西安卓睿信息技术有限公司";"4.5-6千/月";"6"
872;"CATIA二次开发工程师";"北京德天博诚科技有限公司";"0.8-1.5万/月";"2"
873;"前端H5研发工程师-WIFI";"西安恪诚电子科技有限公司";"1-1.5万/月";"5"
874;"高层协议软件开发工程师";"大唐移动通信设备有限公司西安分公司";"0.8-1.3万/月";"5"
875;"Java开发工程师";"西安亿阳信通软件科技发展有限公司";"6-9千/月";"若干"
876;"网络管理员";"西安缤纷鸟少儿美术培训中心";"3-5千/月";"1"
877;"后端开发工程师";"上海汉得信息技术股份有限公司";"0.8-1.5万/月";"若干"
878;"前端开发工程师";"上海汉得信息技术股份有限公司";"0.8-1.5万/月";"若干"
879;"人事绩效主管（OD）";"陕西链家高策地产";"1.5-2万/月";"1"
880;"主数据实施顾问";"上海汉得信息技术股份有限公司";"1-1.8万/月";"若干"
881;"高级Java工程师-西安";"北京小鱼易连科技有限公司";"1-2万/月";"1"
882;"市场策划经理";"西安因联信息科技有限公司";"0.8-1.5万/月";"1"
883;"系统工程师";"西安因联信息科技有限公司";"5-8千/月";"1"
884;"交付工程师";"西安因联信息科技有限公司";"5-8千/月";"1"
885;"交付工程师";"西安因联信息科技有限公司";"5-8千/月";"2"
886;"软件实施工程师";"上海天玑科技股份有限公司";"4.5-6千/月";"2"
887;"ERP服务技术顾问";"金蝶软件西安分公司";"3-6千/月";"3"
888;"WCS工程师x";"上海隆耀网络科技有限公司";"6-8千/月";"3"
889;"IT技术支持/维护工程师x";"上海隆耀网络科技有限公司";"6-8千/月";"3"
890;"店长";"上海鑫屋网络科技有限公司";"4.5-6千/月";"1"
891;"技术支持工程师（19届校招）";"西安新路网络科技有限公司";"5-8千/月";"2"
892;"技术支持工程师";"西安新路网络科技有限公司";"5-8千/月";"1"
893;"服务项目经理";"西安新路网络科技有限公司";"1-1.5万/月";"1"
894;"AIX系统工程师";"上海蒙帕信息技术有限公司";"6-7千/月";"1"
895;"自动贩卖机理货员";"上海鑫屋网络科技有限公司";"4.5-5千/月";"2"
896;"（某500强知名企业）云业务经理";"西安瀚特人力资源有限公司";"1.5-2万/月";"若干"
897;"（某500强知名企业）Docker高级开发工程师";"西安瀚特人力资源有限公司";"1-1.5万/月";"若干"
898;"PHP开发工程师";"小马股份有限公司西安分公司";"4-8千/月";"2"
899;"高级JAVA工程师";"北京时代一峰信息技术有限公司";"0.8-1.2万/月";"5"
900;"开发经理";"北京时代一峰信息技术有限公司";"0.8-1.2万/月";"1"
901;"系统维护工程师(职位编号：2)";"云歌信息技术（江苏）有限公司";"5-8千/月";"1"
902;"高级交付工程师";"北京源晨动力技术服务有限公司";"0.8-1.5万/月";"若干"
903;"项目经理";"北京源晨动力技术服务有限公司";"1-1.5万/月";"若干"
904;"财务分析经理（并购 尽调 经验）";"陕西巨光投资控股集团有限公司";"0.8-1万/月";"1"
905;"网络运营主管";"西安丽源物业管理有限公司";"4.5-6千/月";"1"
906;"计算机网络维护工程师";"西安恒谦教育科技股份有限公司";"6-8千/月";"1"
907;"网站运营专员";"陕西山海源人力资源发展有限公司";"4-6千/月";"2"
908;"网站项目负责人（双休）";"陕西山海源人力资源发展有限公司";"0.7-1万/月";"若干"
909;"系统集成工程师（高级）-西安";"杭州三汇数字信息技术有限公司";"0.6-1.2万/月";"2"
910;"系统集成工程师（中级）-西安";"杭州三汇数字信息技术有限公司";"5-8千/月";"3"
911;"系统集成工程师（初级）-西安";"杭州三汇数字信息技术有限公司";"4-6千/月";"1"
912;"国内客服副主任工程师";"隆基乐叶光伏科技有限公司";"1-1.5万/月";"若干"
913;"JAVA开发工程师";"陕西北斗金控信息服务有限公司";"6-8千/月";"3"
914;"运营总监";"陕西淘丁实业集团有限公司";"5-7千/月";"1"
915;"运营总监";"陕西淘丁实业集团有限公司";"5-7千/月";"1"
916;"技术部经理4000-8000/月";"西安善翔电子科技有限责任公司";"4-8千/月";"2"
917;"技术支持/维护工程师";"西安臻道信息科技有限公司";"3-3.5千/月";"10"
918;"智慧城市总经理";"西安未来国际信息股份有限公司";"3-4万/月";"1"
919;"技术支持（存储与备份方向）";"西安未来国际信息股份有限公司";"6-8千/月";"1"
920;"系统维护员";"陕西智冠控股集团有限责任公司";"0.8-1万/月";"2"
921;"系统管理员（集团）";"陕西智冠控股集团有限责任公司";"4.5-6千/月";"若干"
922;"系统集成售中工程师";"西安智联网络科技有限公司";"3-4.5千/月";"若干"
923;"数据库实施开发工程师";"西安华信智慧数字科技有限公司";"0.9-1.8万/月";"6"
924;"交付工程师";"西安因联信息科技有限公司";"5-8千/月";"1"
925;"电控设计";"陕西通家汽车股份有限公司";"0.6-1万/月";"2"
926;"IT主管";"安徽阳光信通电子科技有限公司西安分公司";"5-8千/月";"1"
927;"网络工程师";"安徽阳光信通电子科技有限公司西安分公司";"5-8千/月";"1"
928;"自动贩卖机理货员";"上海鑫屋网络科技有限公司";"4.5-5千/月";"3"
929;"IT专员";"西安运通博宝汽车销售服务有限公司";"3-4.5千/月";"1"
930;"大数据开发工程师";"西安九索数据技术股份有限公司";"0.6-1.2万/月";"4"
931;"软件维护工程师";"西安合众思壮电信通讯有限责任公司";"3-4.5千/月";"1"
932;"区域销售总监";"珠海网博信息科技股份有限公司";"10-15万/年";"2"
933;"项目负责人";"西安森宝电气工程有限公司";"6-8千/月";"2"
934;"急聘-配网自动化系统工程师";"西安森宝电气工程有限公司";"0.8-1万/月";"1"
935;"底薪4.5K+管家+包住+综合8K";"深圳思倍思文化有限公司";"0.8-1万/月";"15"
936;"无责底薪4500+公寓管家+住宿+综合8K";"乐美思贸易（深圳）有限公司";"0.8-1万/月";"20"
937;"售后技术支持工程师";"西安栎安科技有限公司";"4-8千/月";"2"
938;"电力系统工程师";"西安兴汇电力科技有限公司";"0.6-1.2万/月";"若干"
939;"系统集成测试工程师";"西安兴汇电力科技有限公司";"0.6-1.5万/月";"若干"
940;"系统应用工程师";"西安兴汇电力科技有限公司";"0.6-1万/月";"若干"
941;"项目维护工程师";"北京亚控科技发展有限公司";"4-6千/月";"3"
942;"包住4.5K+管家+月均10000+晋升空间大";"深圳思倍思文化有限公司";"0.8-1万/月";"15"
943;"网站程序开发工程师";"西安大明宫实业集团";"0.8-1万/月";"1"
944;"大数据架构高级顾问";"每一天便利超市连锁有限公司信息中心研发部";"0.6-1万/月";"1"
945;"实施工程师（西安）";"北京中电普华信息技术有限公司";"0.8-1万/月";"20"
946;"安全工程师（西安）";"北京中电普华信息技术有限公司";"1-1.5万/月";"20"
947;"城市商务经理（西安）";"上海迪岸广告有限公司";"4.5-6千/月";"1"
948;"启迪云-政府行业解决方案架构师(000919)(职位编号：nationsky000919)";"启迪国信科技有限公司";"1.5-2万/月";"1"
949;"IT办公设备维护工程师";"陕西硅格科技有限公司";"2.5-3.5千/月";"若干"
950;"网络工程师";"瑞幸咖啡（中国）有限公司";"5-7千/月";"1"
951;"高级车辆运营";"哈罗出行（哈罗单车hellobike）";"0.8-1万/月";"5"
952;"车辆运营-西安";"哈罗出行（哈罗单车hellobike）";"6-8千/月";"5"
953;"高级车辆运营";"哈罗出行（哈罗单车hellobike）";"0.8-1万/月";"5"
954;"安全副主任工程师（西安/清洁能源）";"隆基绿能科技股份有限公司";"6-8千/月";"若干"
955;"信息化系统研发副主任工程师（西安/清洁能源）";"隆基绿能科技股份有限公司";"0.8-1万/月";"若干"
956;"运行工程师（西安/清洁能源）";"隆基绿能科技股份有限公司";"4.5-6千/月";"若干"
957;"底薪4.5K+管家+包住+综合8K";"深圳思倍思文化有限公司";"0.8-1万/月";"15"
958;"网络管理员";"西安源森生物科技有限公司";"3-4万/年";"1"
959;"云方向业务部门_大数据技术主管";"北京思特奇信息技术股份有限公司陕西分公司";"1-2万/月";"1"
960;"中级工程师";"北京华软金科信息技术有限公司";"0.8-1万/月";"3"
961;"高级工程师";"北京华软金科信息技术有限公司";"1-1.5万/月";"3"
962;"技术咨询顾问-Technical Advisor";"Thoughtworks";"1.8-3万/月";"若干"
963;"互联网+新媒体运营专员（高薪诚聘）";"西安微媒软件有限公司";"5-8千/月";"3"
964;"城市新媒体运营专员（五险+双休）";"西安微媒软件有限公司";"5-8千/月";"3"
965;"新媒体运营专员（双休+五险一金）";"西安微媒软件有限公司";"5-8千/月";"3"
966;"新媒体运营专员";"西安微媒软件有限公司";"5-8千/月";"3"
967;"项目经理-监控方案(职位编号：A004-5)";"赞同科技股份有限公司";"1.3-2万/月";"7"
968;"日本工作签―免税店店员，年收18万左右";"大连新翔教育咨询有限公司";"1-1.5万/月";"20"
969;"日本工签――温泉酒店前台接待年收15万左右）";"大连新翔教育咨询有限公司";"1-1.5万/月";"20"
970;"数据库工程师";"中国电信集团系统集成有限责任公司西安区域中心";"6-8千/月";"2"
971;"高级网络工程师";"中国电信集团系统集成有限责任公司西安区域中心";"0.7-1万/月";"3"
972;"信息安全服务工程师";"中国电信集团系统集成有限责任公司西安区域中心";"4-8千/月";"5"
973;"IT管理";"陕西汉德车桥有限公司";"4.5-6千/月";"3"
974;"弱电工程师";"陕西国博政通信息科技有限公司";"4-6千/月";"2"
975;"00035-实施工程师(政企事业中心)";"上海趣医网络技术服务有限公司";"6-8千/月";"3"
976;"底薪4.5K+公寓管家+包住";"深圳前海华字号国际供应链有限公司";"0.8-1.2万/月";"8"
977;"网络通讯工程师（西安）(J10174)";"北京奕斯伟科技有限公司";"1-2万/月";"1"
978;"技术客服";"陕西鑫众为软件有限公司";"3.5-8千/月";"若干"
979;"技术经理";"神州数码系统集成服务有限公司西安分公司";"1-1.5万/月";"1"
980;"大数据应用高级工程师";"神州数码系统集成服务有限公司西安分公司";"1-1.5万/月";"1"
981;"数据库管理员（双休+五险一金）";"华羿微电子股份有限公司";"4-8千/月";"1"
982;"系统服务器管理员（双休+五险一金）";"华羿微电子股份有限公司";"4.5-6千/月";"1"
983;"软件开发主管";"华羿微电子股份有限公司";"0.8-1万/月";"1"
984;"网络工程师";"华羿微电子股份有限公司";"4.5-6千/月";"2"
985;"数据库管理员";"上海京颐科技股份有限公司";"0.8-1.5万/月";"若干"
986;"供应链分析经理";"每一天便利超市连锁有限公司信息中心研发部";"1-1.5万/月";"1"
987;"数据标准化工程师";"每一天便利超市连锁有限公司信息中心研发部";"3-6千/月";"1"
988;"网络硬件工程师";"每一天便利超市连锁有限公司信息中心研发部";"4.5-6千/月";"2"
989;"文案策划";"米兰集团";"3.5-5千/月";"3"
990;"行政助理&人事助理&行政专员&人事专员";"米兰集团";"2.6-4千/月";"5"
991;"迁移专家";"北京华软金科信息技术有限公司";"1.5-2万/月";"1"
992;"高级工程师（银行核心系统）";"北京华软金科信息技术有限公司";"1-1.5万/月";"1"
993;"中级工程师";"北京华软金科信息技术有限公司";"0.7-1万/月";"3"
994;"高级工程师";"北京华软金科信息技术有限公司";"1-1.5万/月";"3"
995;"技术专家";"北京华软金科信息技术有限公司";"2-3万/月";"1"
996;"冠寓实习生";"龙湖集团地产";"80元/天";"10"
997;"冠寓店长";"龙湖集团地产";"0.7-1.5万/月";"若干"
998;"数据库（DBA）开发工程师";"北京北信源软件股份有限公司";"1.3-1.8万/月";"1"
999;"JS前端开发工程师";"旅拍通科技有限公司";"0.8-1万/月";"1"
