"id";"jobs";"salary";"firms";"location";"nums"
948;"美容店长";"0.8-1.5万/月";"上海凯拉美容咨询有限公司";"上海-长宁区";"1"
949;"光电仪器操作师（包住8千到1万）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"杭州-上城区";"6"
950;"美容学徒（4K+包住+社保公积金）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"杭州-上城区";"6"
951;"光电仪器操作师（包住8千到1万）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"上海-长宁区";"10"
952;"光电仪器操作师（包住8千到1万）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"南京-鼓楼区";"5"
953;"美容学徒（4K+包住）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"南京-鼓楼区";"5"
954;"光电仪器操作师（8千到1万）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"苏州-姑苏区";"5"
955;"高薪聘美容师（8千到1万）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"苏州-姑苏区";"5"
956;"美容学徒（4K+包住+社保公积金）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"苏州-姑苏区";"5"
957;"美容学徒（提供住宿）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"深圳-福田区";"5"
958;"光电仪器操作师（8千到1万）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"北京-朝阳区";"5"
959;"4千招美容学徒（提供住宿）";"0.8-1万/月";"上海凯拉美容咨询有限公司";"北京-朝阳区";"10"
960;"高薪急聘美容师8千到1万";"0.8-1万/月";"上海凯拉美容咨询有限公司";"北京-朝阳区";"8"
961;"诚聘美容师6千至1万";"0.6-1万/月";"上海凯拉美容咨询有限公司";"深圳";"3"
962;"诚聘美容师6千至1万";"0.6-1万/月";"上海凯拉美容咨询有限公司";"南京-鼓楼区";"3"
963;"诚聘美容师6千至1万";"0.6-1万/月";"上海凯拉美容咨询有限公司";"杭州-上城区";"3"
964;"高薪诚聘美容店长1W+";"0.8-1.5万/月";"上海凯拉美容咨询有限公司";"上海-长宁区";"1"
965;"诚聘美容师6千至1万";"0.6-1万/月";"上海凯拉美容咨询有限公司";"上海-长宁区";"30"
966;"美容学徒6千至1万";"0.6-1万/月";"上海凯拉美容咨询有限公司";"上海-长宁区";"30"
967;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
968;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
969;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
970;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
971;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
972;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
973;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
974;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
975;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
976;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
977;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
978;"日语导游地接";"1-1.5万/月";"沈阳政通佳益教育咨询有限公司";"沈阳-沈河区";"50"
979;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
980;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
981;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
982;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
983;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
984;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
985;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
986;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
987;"日本就职规划师";"4-6千/月";"沈阳政通佳益教育咨询有限公司";"成都-武侯区";"若干"
