,jobs,firms,salary,nums0
,测试工程师,上海智尧信息科技有限公司,1-1.5万/月,若干
,对日项目经理,上海汉得信息技术股份有限公司,1-1.5万/月,若干
,IT技术开发- 无锡市新区,上海提浜克企业管理有限公司,1-1.5万/月,若干
,Cobol开发工程师,苏州工业园区凌志软件股份有限公司,1-1.5万/月,若干
,高级软件工程师(无锡）,上海智明创发软件有限公司,1-1.5万/月,若干
,对日软件工程师(职位编号：10-6),迈思腾科技（武汉）有限公司,1-1.5万/月,若干
,30083 软件开发工程师,大连瑞林咨询有限公司,1-1.5万/月,若干
,对日软件工程师（日本长期出差）,大连志成众联科技有限公司,1-1.5万/月,若干
,软件工程师,大连六元素科技有限公司,1-1.5万/月,若干
,2-3年对日软件工程师,上海强辰信息技术有限公司,1-1.5万/月,若干
,对日c++高级开发工程师,北京世纪天尚文化传媒有限公司,1-1.5万/月,若干
,图像处理开发工程师,海隆软件（昆山）有限公司,1-1.5万/月,若干
,对日软件工程师（SE）,上海众哲计算机科技有限公司,1-1.5万/月,若干
,海外出差的软件开发人员,海南纽康信息系统有限公司,1-1.5万/月,若干
,日本软件工程师,大连嘉友软件技术有限公司,1-1.5万/月,若干
,日语测试工程师（电商零售系统）,成都迈思信息技术有限公司,1-1.5万/月,若干
,图像处理开发工程师,海隆软件（昆山）有限公司,1-1.5万/月,若干
,图像处理开发工程师,海隆软件（昆山）有限公司,1-1.5万/月,若干
,介护组长（赴日方向）,成都和思康健投资管理有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,长期赴日出差工作人员（无需语言要求）(职位编号：66),文雅（大连）留学咨询有限公司,1-1.5万/月,若干
,赴日软件工程师,大连佰思特信息技术有限公司,1-1.5万/月,若干
,聘赴日工作月薪1.3万元,重庆天泽出国信息咨询有限公司,1-1.5万/月,若干
,高薪烘焙课程老师兼销售,ABC Cooking Studio,1-1.5万/月,若干
,IT日语人才（日本）,爱思弗耐特信息技术（大连）有限公司,1-1.5万/月,若干
,C++开发工程师,华尔特人才咨询（上海）有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,海外出差的软件开发人员,海南纽康信息系统有限公司,1-1.5万/月,若干
,日本航空公司在上海招聘空乘,上海对外劳务经贸合作有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,赴日介护 （人才储备）,成都和思康健投资管理有限公司,1-1.5万/月,若干
,应届赴日日本工作理科（长期出差）,伙伴（大连）信息技术有限公司,1-1.5万/月,若干
,赴日东京酒店前台,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日免税店销售工作,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日东京酒店前台,沈阳信商科技有限公司,1-1.5万/月,若干
,赴日_汽车设计工程师（J26）,善诚科技发展（上海）有限公司,1-1.5万/月,若干
,日企管理部/人事部部长（日语流利）(职位编号：FC181010),上海恒封密封制品有限公司,1-1.5万/月,若干
,高薪 日语/日文项目Leader,方正宽带网络服务有限公司大连分公司,1-1.5万/月,若干
,15薪 SAP项目Leader 高级经理,方正宽带网络服务有限公司大连分公司,1-1.5万/月,若干
,日本（翻译、肋理、文职、销售、酒店）,成都世宗学堂教育咨询有限责任公司,1-1.5万/月,若干
,日本（翻译、肋理、文职、销售、酒店）,成都世宗学堂教育咨询有限责任公司,1-1.5万/月,若干
,日本（翻译、肋理、文职、销售、酒店）,成都世宗学堂教育咨询有限责任公司,1-1.5万/月,若干
,日本（翻译、肋理、文职、销售、酒店）,成都世宗学堂教育咨询有限责任公司,1-1.5万/月,若干
,日本（翻译、肋理、文职、销售、酒店）,成都世宗学堂教育咨询有限责任公司,1-1.5万/月,若干
,日本综合类销售岗位,沈阳信商科技有限公司,1-1.5万/月,若干
,大型派遣会社酒店スタッフ,沈阳信商科技有限公司,1-1.5万/月,若干
,对日项目经理,迈思腾科技（武汉）有限公司,1-1.5万/月,若干
,烘培老师兼课程顾问,ABC Cooking Studio,1-1.5万/月,若干
,酒店接待3月20日面试,大连新翔教育咨询有限公司,1-1.5万/月,若干
,销售主管（服务区）,日世（中国）投资有限公司,1-1.5万/月,若干
,区域销售主管/经理,日世（中国）投资有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,东京SK-II香奈儿化妆品店销售,重庆兴贤出国咨询服务有限公司,1-1.5万/月,若干
,销售主管(职位编号：004),上海长宁区明日进修学校,1-1.5万/月,若干
,日本工签 免税店月薪1万以上,沈阳翔泰教育信息咨询有限公司,1-1.5万/月,若干
,日本工签 免税店月薪1万以上,沈阳翔泰教育信息咨询有限公司,1-1.5万/月,若干
,日本工签 免税店月薪1万以上,沈阳翔泰教育信息咨询有限公司,1-1.5万/月,若干
,日语营业担当-手机通信商品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语导购翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语营业担当-手机通信商品����(职位编号：004),普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-奢侈品店导购,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语营业担当-手机通信商品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-奢侈品店导购,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语营业担当-手机通信商品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语营业担当-手机通信商品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-日本化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语营业担当-手机通信商品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语营业担当-手机通信商品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.5万/月,若干
,日语翻译-SK2化��品����,普森瑞科人力资源咨询（重庆）有限公司,1-1.4万/月,若干
,外包项目经理,南通纽康数研网络技术有限公司,1-1.3万/月,若干
,全日空航空公司在上海招聘空乘,上海对外劳务经贸合作有限公司,1-1.2万/月,若干
,三大手机公司及大型商场销售（翻译及销售）,沈阳信商科技有限公司,1-1.2万/月,若干
,技术开发岗位实习生（2019届）,艾宾信息技术开发（西安）有限公司,104元/天,若干
,Java高级软件工程师（上海）,上海海隆软件有限公司,10-15万/年,若干
,对日java/.net软件工程师（SE）,大连和众信拓科技有限公司,10-15万/年,若干
,软件测试(高级SE),AW（杭州）信息技术有限公司,10-15万/年,若干
,嵌入式开发工程师(C 高级),AW（杭州）信息技术有限公司,10-15万/年,若干
,嵌入式开发工程师(C 高级 欧美),AW（杭州）信息技术有限公司,10-15万/年,若干
,对日项目组长（TL）,大连和众信拓科技有限公司,10-15万/年,若干
,系统架构师,成都聚拓信息技术有限公司,10-15万/年,若干
,对日项目组长（TL）,大连和众信拓科技有限公司,10-15万/年,若干
,对日java/.net软件工程师（SE）,大连和众信拓科技有限公司,10-15万/年,若干
,营业主管（教育咨询/日语流利）(职位编号：002),上海长宁区明日进修学校,10-15万/年,若干
,Java资深开发工程师,南通苏慧信息技术有限公司,0.9-1万/月,若干
,Senior Application Developer - JAVA,IBM China,0.9-1.5万/月,若干
,对日COBOL项目经理,天津恩梯梯数据有限公司,0.9-1.2万/月,若干
,对日java开发工程师,北京阿提拉科技有限公司,0.8-1万/月,若干
,Java开发工程师,大连远东数码有限公司,0.8-1万/月,若干
,JAVA开发(出差日本),大连鸿宇同创科技有限公司,0.8-1万/月,若干
,对日Java软件开发工程师/java软件工程师,南京斐哲信息科技有限公司,0.8-1万/月,若干
,Java开发工程师对日,沈阳韩邦软件开发有限公司,0.8-1万/月,若干
,Java开发工程师,大连创弘科技有限公司,0.8-1万/月,若干
,对日java开发工程师,鑫沣科技（大连）有限公司,0.8-1万/月,若干
,Java开发工程师（日语）,上海每联每信息技术有限公司大连分公司,0.8-1万/月,若干
,对日JAVA程序员,威英软件（上海）有限公司,0.8-1万/月,若干
,Java高级软件工程师（急聘）,大连博石世纪科技有限公司,0.8-1万/月,若干
,对日java工程师,大连创弘科技有限公司,0.8-1万/月,若干
,对日Java软件工程师,大连中软软件有限公司,0.8-1万/月,若干
,软件开发（高薪）,大连澳乐科技有限公司,0.8-1万/月,若干
,对日开发SE,威英软件（上海）有限公司,0.8-1万/月,若干
,急聘软件开发工程师（济南）,大连北溟软件有限公司,0.8-1万/月,若干
,对日软件工程师,无锡智明创发软件有限公司,0.8-1万/月,若干
,对日研发工程师（急聘）,江苏海隆软件技术有限公司,0.8-1万/月,若干
,SE-大连软件园,大连瑞林咨询有限公司,0.8-1万/月,若干
,对日软件开发工程师（BSE),商泰软件（上海）有限公司,0.8-1万/月,若干
,对日项目TL,天津南开创元信息技术有限公司,0.8-1万/月,若干
,对日软件开发,京瓷信息系统（上海）有限公司,0.8-1万/月,若干
,派遣技术人员,慧德科技（大连）有限公司,0.8-1万/月,若干
,(知名日本独资IT企业)日语高级工程师-JP2943(职位编号：JP2943),大连博科人才有限公司,0.8-1万/月,若干
,绑定师,上海幻马文化传媒有限公司,0.8-1万/月,若干
,赴日//对日软件开发实习生,沈阳上科树品科技有限公司,0.8-1万/月,若干
,急聘C语言开发工程师,威英软件（上海）有限公司,0.8-1万/月,若干
,SE-大连软件园,大连瑞林咨询有限公司,0.8-1万/月,若干
,行政秘书-日语,中澳金控投资发展有限公司,0.8-1万/月,若干
,日语系统监视维护工程师（日本）,爱思弗耐特信息技术（大连）有限公司,0.8-1万/月,若干
,对日开发SE,威英软件（上海）有限公司,0.8-1万/月,若干
,项目经理,纪州喷码技术（上海）有限公司,0.8-1万/月,若干
,对日JAVA程序员,威英软件（上海）有限公司,0.8-1万/月,若干
,对日研发工程师（急聘）,江苏海隆软件技术有限公司,0.8-1万/月,若干
,对日项目组长,迈思腾科技（武汉）有限公司,0.8-1万/月,若干
,销售主管,上海长宁区明日进修学校,0.8-1万/月,若干
,(知名日本独资IT企业)日语高级工程师-JP2943(职位编号：JP2943),大连博科人才有限公司,0.8-1万/月,若干
,JAVA/.Net开发组长,上海汉得信息技术股份有限公司,0.8-1.6万/月,若干
,对日Java,北京起鹏科技发展有限公司,0.8-1.6万/月,若干
,[ATCC] 对日C++高级工程师,埃森哲（中国）有限公司,0.8-1.6万/月,若干
,项目负责人,爱发科豪威光电薄膜科技（深圳）有限公司,0.8-1.6万/月,若干
,对日Java项目组长,上海汉得信息技术股份有限公司,0.8-1.5万/月,若干
,对日JAVA SE(协力+本社),大连轩辕信息技术有限公司,0.8-1.5万/月,若干
,对日软件开发项目经理(职位编号：003),西安未都网络科技有限公司,0.8-1.5万/月,若干
,赴日Java开发工程师,大连博创人力资源开发有限公司,0.8-1.5万/月,若干
,JAVA开发设计工程师,上海汉得信息技术股份有限公司,0.8-1.5万/月,若干
,Java开发工程师（对日）,沈阳韩邦软件开发有限公司,0.8-1.5万/月,若干
,对日JAVA SE(协力+本社),大连轩辕信息技术有限公司,0.8-1.5万/月,若干
,对日软件工程师（SE/SSE-VB.NET）,上海凌欣信息科技有限公司,0.8-1.5万/月,若干
,系统测试工程师,上海光联通讯技术有限公司武汉分公司,0.8-1.5万/月,若干
,软件工程师,德硕管理咨询（深圳）有限公司,0.8-1.5万/月,若干
,高级软件工程师(手机端),天津恩梯梯数据有限公司,0.8-1.5万/月,若干
,Hybris高级软件工程师,天津恩梯梯数据有限公司,0.8-1.5万/月,若干
,PL,大连新致软件有限公司,0.8-1.5万/月,若干
,日语运营,网易集团,0.8-1.5万/月,若干
,系统测试工程师,上海光联通讯技术有限公司武汉分公司,0.8-1.5万/月,若干
,赴日Java开发工程师,大连博创人力资源开发有限公司,0.8-1.5万/月,若干
,Java对日开发工程师,上海强辰信息技术有限公司,0.8-1.3万/月,若干
,对日软件开发SE（JAVA/.NET方向）,大连创盛科技有限公司,0.8-1.3万/月,若干
,对日软件工程师（SE）,音泰思（长春）信息科技有限公司,0.8-1.2万/月,若干
,对日软件工程师,成都智云创联科技有限公司,0.8-1.2万/月,若干
,对日软件开发工程师（专）,上海海隆软件有限公司,0.8-1.2万/月,若干
,C++对日开发软件工程师（工作地点：开发区）,大连创盛科技有限公司,0.8-1.2万/月,若干
,java开发工程师 （对日）,Capgemini Japan K. K.凯捷日本,0.7-2万/月,若干
,Java开发工程师,日通（大连）科技有限公司,0.7-1万/月,若干
,Java开发工程师,大连澳乐科技有限公司,0.7-1万/月,若干
,对日Java开发工程师（大连）,大连高仕科技有限公司,0.7-1万/月,若干
,JAVA SE,大连麒翔信息科技有限公司,0.7-1万/月,若干
,系统工程师―（对日）金融方向,宏智科技（苏州）股份有限公司,0.7-1万/月,若干
,MES工程师,日通（大连）科技有限公司,0.7-1万/月,若干
,对日JAVA软件工程师,上海新致晟欧软件技术有限公司,0.7-1.5万/月,若干
,Application Developer - VB.NET,IBM China,0.7-1.5万/月,若干
,Application Developer - VB.NET,IBM China,0.7-1.5万/月,若干
,软件测试工程师,IBM China,0.7-1.5万/月,若干
,对日JAVA软件工程师,上海新致晟欧软件技术有限公司,0.7-1.5万/月,若干
,Java / .Net / C++软件工程师,杭州网新新思软件有限公司,0.7-1.4万/月,若干
,Java / .Net / C++软件工程师,杭州网新新思软件有限公司,0.7-1.4万/月,若干
,对日软件工程师（SE-Java）,上海凌欣信息科技有限公司,0.7-1.2万/月,若干
,对日软件开发PL,英赛（大连）信息技术有限公司,0.7-1.2万/月,若干
,测试工程师,成都迈思信息技术有限公司,0.7-1.2万/月,若干
,对日SAP/ABAP开发工程师（急聘）,大连创盛科技有限公司,0.7-1.2万/月,若干
,对日项目主管（大连）,大连华信计算机技术股份有限公司,0.7-1.2万/月,若干
,测试工程师,成都迈思信息技术有限公司,0.7-1.2万/月,若干
,Java开发工程师,大连澳乐科技有限公司,0.7-1.1万/月,若干
,Java开发工程师,裕日软件有限公司,0.6-1万/月,若干
,高级软件工程师  （SE PL）,大连共兴达信息技术有限公司,0.6-1万/月,若干
,Testing Engineer - JP,Cisco 思科系统（中国）,0.6-1万/月,若干
,对日软件工程师 呈贡春融街,上海唯步软件科技有限公司,0.6-1万/月,若干
,Java开发工程师,贝纳德科技（大连）有限公司,0.6-1万/月,若干
,java开发,迈思腾科技（武汉）有限公司,0.6-1万/月,若干
,C#开发工程师(职位编号：01),意盟软件系统开发（上海）有限公司,0.6-1万/月,若干
,高级软件工程师 对日软件开发,天津恩梯梯数据有限公司,0.6-1万/月,若干
,Testing Engineer - JP,Cisco 思科系统（中国）,0.6-1万/月,若干
,日语（英语）旅游咨询顾问,深圳市樱吉尔国际教育咨询有限公司,0.6-1万/月,若干
,日企系统开发工程师(编号97186) 日语必须,上海艾杰飞人力资源有限公司,0.6-1.8万/月,若干
,海外（对日）JAVA业务软件工程师,江苏海隆软件技术有限公司,0.6-1.5万/月,若干
,Java开发工程师,江苏润和软件股份有限公司,0.6-1.5万/月,若干
,对日JAVA软件工程师,北京中海创发科技有限公司,0.6-1.5万/月,若干
,系统测试工程师,上海光联通讯技术有限公司武汉分公司,0.6-1.5万/月,若干
,java程序员,恒川系统软件开发（上海）有限公司,0.6-1.5万/月,若干
,Java方向高级软件工程师,华信富融（苏州工业园区）软件技术有限公司,0.6-1.5万/月,若干
,Java软件工程师,华信富融（苏州工业园区）软件技术有限公司,0.6-1.5万/月,若干
,系统测试工程师,上海光联通讯技术有限公司武汉分公司,0.6-1.5万/月,若干
,Java开发工程师,江苏润和软件股份有限公司,0.6-1.5万/月,若干
,SE  软件工程师（对日）  JAVA工程师,成都仁本新动科技有限公司,0.6-1.2万/月,若干
,对日软件开发工程师（JAVA）,音泰思计算机技术（成都）有限公司,0.6-1.2万/月,若干
,JAVA软件开发（初级-高级）精通日语(职位编号：YC180427-2),上海恒封密封制品有限公司,0.6-1.2万/月,若干
,对日JAVA,苏州乔客云数据科技有限公司,0.6-1.2万/月,若干
,对日软件工程师,音泰思（长春）信息科技有限公司,0.6-1.2万/月,若干
,对日高级软件工程师(职位编号：002),西安未都网络科技有限公司,0.6-1.2万/月,若干
,对日软件工程师,苏州乔客云数据科技有限公司,0.6-1.2万/月,若干
,项目组长 出国机会(职位编号：02),成都仁本新动科技有限公司,0.6-1.2万/月,若干
,软件开发工程师（PM）,恩梯梯数据（中国）信息技术有限公司长春分公司,0.6-1.2万/月,若干
,SE,大连新致软件有限公司,0.6-1.2万/月,若干
,总经理秘书（日语）,上海瀚威酩轩文化传播有限公司,0.6-1.2万/月,若干
,项目组长 出国机会(职位编号：02),成都仁本新动科技有限公司,0.6-1.2万/月,若干
,软件开发工程师（PM）,恩梯梯数据（中国）信息技术有限公司长春分公司,0.6-1.2万/月,若干
,Java软件开发工程师,爱思弗耐特信息技术（大连）有限公司,0.5-1万/月,若干
,（急）对日java软件工程师,通华科技（大连）有限公司,0.5-1万/月,若干
,对日JAVA开发工程师,北京德望高高科技系统有限公司,0.5-1万/月,若干
,高级Java系统工程师（研发类）,英赛（大连）信息技术有限公司,0.5-1万/月,若干
,软件工程师(JAVA),恩梯梯数据（中国）信息技术有限公司,0.5-1万/月,若干
,对日JAVA软件工程师,苏州乔客云数据科技有限公司,0.5-1万/月,若干
,对日Java开发工程师,大连启动项信息科技有限公司,0.5-1万/月,若干
,Java高级开发工程师,南通数英信息科技有限公司,0.5-1万/月,若干
,CAE系统构筑及应用支持工程师,慧舟软件技术（上海）有限公司,0.5-1万/月,若干
,高级Java开发工程师（SE）,英赛（大连）信息技术有限公司,0.5-1万/月,若干
,JAVA软件开发工程师,恩梯梯数据（中国）信息技术有限公司长春分公司,0.5-1万/月,若干
,JAVA软件开发工程师,恩梯梯数据（中国）信息技术有限公司长春分公司,0.5-1万/月,若干
,JAVA软件开发工程师,恩梯梯数据（中国）信息技术有限公司长春分公司,0.5-1万/月,若干
,JAVA软件开发工程师,恩梯梯数据（中国）信息技术有限公司长春分公司,0.5-1万/月,若干
,java软件工程师（对日）,大连华信计算机技术股份有限公司,0.5-1万/月,若干
,技术SE 出国机会(职位编号：03),成都仁本新动科技有限公司,0.5-1万/月,若干
,高级软件开发工程师（SEPM）,恩梯梯数据（中国）信息技术有限公司长春分公司,0.5-1万/月,若干
,CAE系统构筑及应用支持工程师,慧舟软件技术（上海）有限公司,0.5-1万/月,若干
,高级软件开发工程师（SEPM）,恩梯梯数据（中国）信息技术有限公司长春分公司,0.5-1万/月,若干
,对日Java(3个项目),大连慧桥云联科技有限公司,0.5-1.5万/月,若干
,软件开发工程师(含奖金14薪),伙伴（大连）信息技术有限公司,0.5-1.5万/月,若干
,对日C语言开发工程师,杭州仁卓软件有限公司,0.5-1.2万/月,若干
,店员/营业员/导购（COCODEAL 日系女装 ）,露妮商贸（上海）有限公司,0.5-1.2万/月,若干
,店员/营业员/导购/店长RENAI KEIKAKU恋爱计画日系女装,露妮商贸（上海）有限公司,0.5-1.2万/月,若干
,Java开发工程师（日语）,成都维纳软件股份有限公司,0.4-1万/月,若干
,对日Java软件工程师,大连航成科技有限公司,0.4-1万/月,若干
,对日java开发人员,大连创科科技发展有限公司,0.4-1万/月,若干
,对日/日本项目软件开发工程师/JAVA/前端/.NET/COBOL,江苏海隆软件技术有限公司,0.4-1万/月,若干
,软件工程师,上海强辰信息技术有限公司,0.4-1万/月,若干
,PG开发,大连新致软件有限公司,0.4-1万/月,若干
,烘焙工作室顾问,艾宝食餐饮管理（上海）有限公司北京朝阳分公司,0.4-1万/月,若干
,日语 工程师（毕业生可）,阿迩贝司机电技术（上海）有限公司,0.4-1万/月,若干
,对日/日本项目软件开发工程师/JAVA/前端/.NET/COBOL,江苏海隆软件技术有限公司,0.4-1万/月,若干
,软件工程师,上海强辰信息技术有限公司,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘焙课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘焙课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培老师,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘焙工作室运营员工,ABC Cooking Studio,0.4-1万/月,若干
,烘焙课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,烘培课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,蛋糕/面包/料理工作室店员,ABC Cooking Studio,0.4-1万/月,若干
,烘焙课程顾问,ABC Cooking Studio,0.4-1万/月,若干
,Java开发工程师,大连九鼎联合科技有限公司,0.4-1.5万/月,若干
,对日项目Java软件工程师,大连创弘科技有限公司,0.4-1.5万/月,若干
,JAVA对日开发软件工程师（工作地点：高新区）,大连创盛科技有限公司,0.4-1.2万/月,若干
,销售代表(深圳龙华),上海永龙宝国际货物运输代理有限公司深圳分公司,0.4-1.2万/月,若干
,销售（厦门）,上海永龙宝国际货物运输代理有限公司深圳分公司,0.4-1.2万/月,若干
,对日软件工程师,济南特利欧信息科技有限公司,0.3-1万/月,若干
,对日软件工程师,济南特利欧信息科技有限公司,0.3-1万/月,若干
,日语教师,平成国际教育,0.3-1万/月,若干
,艺术教育培训业务员（代招）,重庆集呐网络科技有限公司,0.3-1万/月,若干
,蛋糕/面包/料理工作室店员（销售兼讲师）,ABC Cooking Studio,0.3-1万/月,若干
,2019届应届生,通富微电子股份有限公司,4-8千/月,500
,深圳宝安日企大量招聘普工5000,东莞市共进教育咨询有限公司,4.5-6千/月,200
,深圳宝安日企大量招聘普工5000,东莞市共进教育咨询有限公司,4.5-6千/月,200
,软件工程师（2019应届生）,恩梯梯数据（中国）信息技术有限公司,4.5-6.5千/月,200
,海外研发工程师/2019应届生/计算机/软件/理工科,江苏海隆软件技术有限公司,5-7千/月,180
,储备海外业务软件工程师（2018届应届生）,江苏海隆软件技术有限公司,4-6千/月,180
,海外研发工程师/2018应届生/计算机/软件/理工科,江苏海隆软件技术有限公司,4-6千/月,180
,2018届毕业生（计算机、软件）,江苏海隆软件技术有限公司,4-6千/月,180
,软件工程师（应届毕业本科生）,南京联迪信息系统股份有限公司,4-7千/月,130
,软件工程师（应届毕业本科生）,南京联迪信息系统股份有限公司,4-7千/月,130
,深圳东莞日资企业招聘普工6000,东莞市共进教育咨询有限公司,4.5-6千/月,100
,深圳东莞日资企业招聘普工6000,东莞市共进教育咨询有限公司,4.5-6千/月,100
,深圳东莞日资企业招聘普工6000,东莞市共进教育咨询有限公司,4.5-6千/月,100
,高薪，长期赴日出差软件工程师JAVA,大连华小讯科技有限公司,2.5-3万/月,100
,高薪，长期赴日出差软件工程师JAVA,大连华小讯科技有限公司,2.5-3万/月,100
,介护士,绍泉职业教育培训服务（临泉）有限公司,1-1.5万/月,100
,介护士,绍泉职业教育培训服务（临泉）有限公司,1-1.5万/月,100
,介护士,绍泉职业教育培训服务（临泉）有限公司,1-1.5万/月,100
,日语网络工程师（赴日）,创译科技（大连）有限公司,1.4-3万/月,99
,日语网络工程师（赴日）,创译科技（大连）有限公司,1.4-3万/月,99
,初级软件工程师（应届生）,创盛信息技术（湖北）有限公司,4.5-5千/月,60
,对日软件开发/设计师,上海恩梯梯数据晋恒软件有限公司,0.8-1万/月,60
,美丽健康管理师,苏州皇尚健康咨询管理有限公司,8-10万/年,50
,包食宿诚聘美容师,苏州皇尚健康咨询管理有限公司,8-10万/年,50
,对日软件开发工程师,共兴达信息技术（沈阳）有限公司,6-8千/月,50
,美丽健康管理师,苏州皇尚健康咨询管理有限公司,6-8千/月,50
,美丽健康管理师,苏州皇尚健康咨询管理有限公司,6-8千/月,50
,诚聘美容师（高端连锁）,苏州皇尚健康咨询管理有限公司,6-8千/月,50
,2019届/对日软件开发/JAVA/前端/.NET/COBOL（可实习）,江苏海隆软件技术有限公司,5-7千/月,50
,2019届/对日软件开发/JAVA/前端/.NET/COBOL（可实习）,江苏海隆软件技术有限公司,5-7千/月,50
,2019届软件开发实习生,苏州工业园区凌志软件股份有限公司,4-7千/月,50
,2018届软件开发实习生,苏州工业园区凌志软件股份有限公司,4-7千/月,50
,软件开发应届生,天津南开创元信息技术有限公司,4-6千/月,50
,英语软件工程师(Java/.Net/SAP/Oracle/Test),埃森哲（中国）有限公司,4-5千/月,50
,应届生岗位-软件开发工程师,天津南开创元信息技术有限公司,4-5千/月,50
,对日软件工程师(Java/SAP/Oracle/Test),埃森哲（中国）有限公司,4-5千/月,50
,对日软件工程师(Java/SAP/Oracle/Test),埃森哲（中国）有限公司,4-5千/月,50
,软件开发实习生（2019届毕业）(职位编号：xunhe-01),讯和创新科技（北京）有限公司,2-3千/月,50
,2019届软件开发实习生(职位编号：xunhe-01),讯和创新科技（北京）有限公司,2-3千/月,50
,日本工签,创译科技（大连）有限公司,1.4-3万/月,50
,日本工签,创译科技（大连）有限公司,1.4-3万/月,50
,日语网络工程师,创译科技（大连）有限公司,1.3-3万/月,50
,日语网络工程师（会日语，网络零基础也可以）,创译科技（大连）有限公司,1.3-3万/月,50
