,jobs,firms,salary,nums0
,2018应届生-软件工程师（工作地点：高新区）,大连创盛科技有限公司,4-5千/月,若干
,2018应届生-软件工程师（工作地点：开发区）,大连创盛科技有限公司,4-5千/月,若干
,专员,爱发科豪威光电薄膜科技（深圳）有限公司,4.5-9千/月,若干
,高级软件工程师,海南纽康信息系统有限公司,4.5-8千/月,若干
,无印良品导购员（就近分配）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,无印良品导购员（东方福莱德）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,无印良品导购员（南京水游城店）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,无印良品导购员（北京世贸天阶）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,无印良品导购员（就近分配）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,无印良品导购员（淮海旗舰店）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,无印良品正式店员（就近分配）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,无印良品导购员（无销售性质）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,无印良品导购员（北京访）,无印良品（上海）商业有限公司,4.5-8千/月,若干
,对日java软件开发工程师,大连信达联创科技有限公司,4.5-8.9千/月,若干
,软件开发工程师,南通苏慧信息技术有限公司,4.5-7千/月,若干
,对日CAD绘图/对日门窗(急招),大连精石科技有限公司,4.5-7千/月,若干
,日语软件开发(编号97955),上海艾杰飞人力资源有限公司,4-5.6千/月,若干
,对日Java软件开发,大连众卓云科技服务有限公司,4.5-6千/月,若干
,中高级java/c++/.net软件开发工程师,北京世纪天尚文化传媒有限公司,4.5-6千/月,若干
,对日java cobol c# C++(大连分公司）,北京北方新宇信息技术有限公司,4.5-6千/月,若干
,JAVA/BV/C开发工程师-大连软件园,大连瑞林咨询有限公司,4.5-6千/月,若干
,软件开发 日语,天津恩梯梯数据有限公司,4.5-6千/月,若干
,java开发软件工程师,大连运筹科技有限公司,4.5-6千/月,若干
,开发五部 Java软件工程师,西安凌安电脑有限公司,4.5-6千/月,若干
,赴日软件工程师,江苏明月软件技术有限公司无锡分公司,4.5-6千/月,若干
,对日Java软件工程师,北京北方新宇信息技术有限公司,4.5-6千/月,若干
,Web前端开发+日语,大连瑞林咨询有限公司,4.5-6千/月,若干
,对日Java开发工程师,浪潮世科有限公司,4.5-6千/月,若干
,软件开发 实习生,贝纳德科技（大连）有限公司,4.5-6千/月,若干
,软件工程师,南通苏慧信息技术有限公司,4.5-6千/月,若干
,web开发工程师-高新园区,大连瑞林咨询有限公司,4.5-6千/月,若干
,对日软件工程师,济南讯和信息技术有限公司,4.5-6千/月,若干
,软件工程师 对日开发,天津恩梯梯数据有限公司,4.5-6千/月,若干
